cui,cueanexo,cue,anexo,sector,dom_edific,dom_establ,nombre_est,nombre_abr,telefono,email,codpost,web_megcba,nivmod,nivelmodal,tipest_abr,tipest,depfun,depfun_otr,de,comuna,barrio,area_progr,estado,point_x,point_y,nivel
"202298","20012301","200123","1",2.000000000000000,Malabia 2370,Malabia 2370,Colegio de los Niños,Col de los Niños a1,S/d,primaria@childrens-boston.com.ar,"1425",http://www.buenosaires.gob.ar/areas/educacion/gestion_privada/index.php?menu_id=19676,IniCom - PriCom - SecCom,"Nivel Inicial, Primario y Secundario Común",IEIEO,Instituto Educativo Incorporado a la Enseñanza Oficial,Dirección General de Educación de Gestión Privada,Ministerio de Educación,9.000000000000000,14.000000000000000,PALERMO,04 - HOSP FERNANDEZ,"1",104067.008444999984931,104865.057574999998906,Inicial Común - Primario Común - Secundario Común
"200093","20302719","203027","19",1.000000000000000,Dr. Tomás Manuel de Anchorena 855,Dr. Tomás Manuel de Anchorena 855,ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Infantil N° 08,CV Dan Inf 08,S/D,danzasmastrazzi@yahoo.com.ar,C1170,http://www.buenosaires.gob.ar/areas/educacion/niveles/art/?menu_id=9765,OSECom,Otros Servicios Educativos de la modalidad Común,ESEA,Escuela Superior de Educación Artística,Dirección de Educación Artística,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",105051.174297000005026,103376.523111999995308,Otros Servicios Educativos de la modalidad Común
"200094","20037300","200373","0",1.000000000000000,Jean Jaurés 870,Jean Jaurés 870,Centro Educativo de Nivel Secundario N° 16,CENS 16,4961-3657,deaa_cens16_de2@bue.edu.ar,C1215,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/secundaria,SecAdu,Nivel Secundario de Jóvenes y Adultos,CENS,Centro Educativo de Nivel Secundario,Dirección de Educación del Adulto y del Adolescente,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",105107.166196999998647,103214.524411999998847,Secundario de Jóvenes y Adultos
"200094","20126300","201263","0",1.000000000000000,Jean Jaurés 870,Jean Jaurés 870,Esc. Primaria Común N° 24 Provincia de Catamarca,EPjs 24,4961-3657,dep_epc24_de2@bue.edu.ar,C1215,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JS,Escuela de Jornada Simple,Dirección de Educación Primaria,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",105107.166196999998647,103214.524411999998847,Primario Común
"200094","20029401","200294","1",1.000000000000000,Jean Jaurés 870,Jean Jaurés 870,Jardín de Infantes Nucleado B (EPCjs 24/02°) El Jardín del Abasto,JIN B-01 (24),4863-3413,dei_jinb8_de2@bue.edu.ar,C1215,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIN,Jardín de Infantes Nucleado,Dirección de Educación Inicial,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",105107.166196999998647,103214.524411999998847,Inicial Común
"200094","20302707","203027","7",1.000000000000000,Jean Jaurés 870,Jean Jaurés 870,ESEA en Danza Mastrazzi Curso Vocacional de Danza y Expresión Corporal Juvenil N° 07,CV Dan Juv 07,4961-3657,dea_ed300_de1@bue.edu.ar,C1215,http://www.buenosaires.gob.ar/areas/educacion/niveles/art/?menu_id=9765,OSECom,Otros Servicios Educativos de la modalidad Común,ESEA,Escuela Superior de Educación Artística,Dirección de Educación Artística,Ministerio de Educación,2.000000000000000,3.000000000000000,BALVANERA,08 - HOSP RAMOS MEJIA,"1",105107.166196999998647,103214.524411999998847,Otros Servicios Educativos de la modalidad Común
"200231","20007600","200076","0",1.000000000000000,Luzuriaga 1571,Luzuriaga 1571,Jardín de Infantes Común N° 03/05°,JIC 03/05,4301-7741,dei_jic3_de5@bue.edu.ar,C1279,http://www.buenosaires.gob.ar/educacion/estudiantes/inicial?menu_id=9759,IniCom,Nivel Inicial Común,JIC,Jardín de Infantes Común,Dirección de Educación Inicial,Ministerio de Educación,5.000000000000000,4.000000000000000,BARRACAS,05 - HOSP PENNA,"1",106964.161496000000625,97339.062612299981993,Inicial Común
"200095","20141500","201415","0",1.000000000000000,José Antonio Cabrera 3484,José Antonio Cabrera 3484,Esc. Primaria p/Adultos N° 13 República Islámica de Irán,EPA 13,4963-2640/4565,deaa_ep13_de2@bue.edu.ar,C1186,http://www.buenosaires.gob.ar/educacion/estudiantes/adultos/primaria?menu_id=12643,PriAdu - OSEAdu,Nivel Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos,EP,Escuela Primaria para Adultos,Dirección de Educación del Adulto y del Adolescente,Ministerio de Educación,2.000000000000000,2.000000000000000,RECOLETA,04 - HOSP FERNANDEZ,"1",104406.198097000000416,103595.545211999997264,Primario de Jóvenes y Adultos - Otros Servicios Educativos de la modalidad de Jóvenes y Adultos
"200095","20171900","201719","0",1.000000000000000,José Antonio Cabrera 3484,José Antonio Cabrera 3484,Esc. Primaria Común N° 13 República Islámica de Irán,EPjc 13,4963-2640/4565,dep_epc13_de2@bue.edu.ar,C1186,http://www.buenosaires.gob.ar/educacion/estudiantes/primario?menu_id=9760,PriCom,Nivel Primario Común,JC,Escuela de Jornada Completa,Dirección de Educación Primaria,Ministerio de Educación,2.000000000000000,2.000000000000000,RECOLETA,04 - HOSP FERNANDEZ,"1",104406.198097000000416,103595.545211999997264,Primario Común
"202680","20145700","201457","0",1.000000000000000,Letonia y Avda. Antártida Argentina,Letonia y Avda. Antártida Argentina,Esc. de Educacion Media N° 06/01° Padre Carlos Mugica,EEM 06/01,4312-5906,dem_eem6_de1@bue.edu.ar,C1104,http://www.buenosaires.gob.ar/educacion/estudiantes/secundario/contacto?menu_id=18231,SecCom,Nivel Secundario Común,EEM,Escuela de Educación Media,Dirección de Educación Media,Ministerio de Educación,1.000000000000000,1.000000000000000,RETIRO,04 - HOSP FERNANDEZ,"1",108543.715897000001860,104593.165712000001804,Secundario Común
