service_id,date,exception_type
5,20200101,2
5,20200224,2
5,20200225,2
5,20200323,2
5,20200324,2
5,20200402,2
5,20200409,2
5,20200410,2
5,20200501,2
5,20200525,2
5,20200617,2
6,20200620,2
5,20200709,2
5,20200710,2
5,20200817,2
5,20201012,2
5,20201123,2
5,20201207,2
5,20201208,2
5,20201225,2
5,20210101,2
5,20210215,2
5,20210216,2
5,20210324,2
5,20210401,2
5,20210402,2
6,20210501,2
5,20210524,2
5,20210525,2
7,20210620,2
5,20210621,2
5,20210709,2
5,20210816,2
5,20211008,2
5,20211011,2
5,20211122,2
5,20211208,2
6,20211225,2
5,20231120,2
7,20231120,1
5,20231208,2
7,20231208,1
5,20231225,2
7,20231225,1
5,20240101,2
7,20240101,1
5,20240212,2
7,20240212,1
5,20240213,2
7,20240213,1
5,20240329,2
7,20240329,1
5,20240401,2
7,20240401,1
5,20240402,2
7,20240402,1
5,20240501,2
7,20240501,1
6,20240525,2
7,20240525,1
5,20240617,2
7,20240617,1
5,20240620,2
7,20240620,1
5,20240621,2
7,20240621,1
5,20240709,2
7,20240709,1
6,20240817,2
7,20240817,1
5,20241011,2
7,20241011,1
6,20241012,2
7,20241012,1
5,20241118,2
7,20241118,1
5,20241208,2
7,20241208,1
5,20241225,2
7,20241225,1
